NRO ACTA;TITULARES ASIGNADOS;FECHA INGRESO;CLASE;DENOMINACION;TIPO DE MARCA;NRO RESOLUCION;ESTADO;VENCIMIENTO
1220381;MOLINOS TARQUINI S.A. 100.00%;;3;ENFOS K 2;Denominativa;1025829;C;15/7/1991
1228180;MOLINOS TARQUINI S.A.I.C.;;3;GRAFIADO;Denominativa;123361;A;
1230298;MOLINOS TARQUINI S.A.I.C.;;3;CUARZOPLAST;Denominativa;1059317;C;17/5/1993
1232088;MOLINOS TARQUINI S.A.I.C.;24/3/1980;3;SALPI-K 2;Denominativa;141064;A;
1234979;MOLINOS TARQUINI S.A.I.C.;;3;RAYA-2;Denominativa;1030417;C;5/10/1991
1296631;MOLINOS TARQUINI S.A.I.C. 100.00%;2/9/1981;19;FINOL;Denominativa;1199938;C;1/4/1996
1310957;MOLINOS TARQUINI S.A. 100.00%;;1;ORNAFRENT;Denominativa;1049440;C;11/10/1992
1310958;MOLINOS TARQUINI S.A.I.C.;;6;ORNAFRENT;Denominativa;1049441;C;11/10/1992
1310959;MOLINOS TARQUINI S.A.I.C. 100.00%;21/12/1981;19;ORNAFRENT;Denominativa;3478;CA;
1352385;MOLINOS TARQUINI S.A.I.C.;;19;FRADUR;Denominativa;1067914;C;15/12/1993
1363467;MOLINOS TARQUINI S.A.I.C.;9/2/1983;19;SALPI-K;Denominativa;1094239;C;9/10/1994
1370131;MOLINOS TARQUINI S.A.I.C.;30/3/1983;19;RAPIDUR;Denominativa;1084674;C;27/7/1994
1370132;MOLINOS TARQUINI S.A.I.C.;30/3/1983;19;FRIDUR;Denominativa;1084675;C;27/7/1994
1383612;MOLINOS TARQUINI S.A.I.C. 100.00%;8/6/1983;19;HIDROSIL;Denominativa;1117921;C;14/3/1995
1388162;MOLINOS TARQUINI S.A.I.C.;6/7/1983;14;PIEDRAPLAST;Denominativa;1122434;C;21/3/1995
1388163;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;6/7/1983;19;PIEDRAPLAST;Denominativa;1288506;C;9/5/1998
1388164;MOLINOS TARQUINI S.A.I.C.;6/7/1983;14;LAJONIX;Denominativa;1282402;C;8/4/1998
1388165;MOLINOS TARQUINI S.A.I.C.;6/7/1983;19;LAJONIX;Denominativa;1282403;C;8/4/1998
1388166;MOLINOS TARQUINI S.A.I.C.;6/7/1983;14;GRANIFREN;Denominativa;1122435;C;21/3/1995
1388167;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;6/7/1983;19;GRANIFREN;Denominativa;1286074;C;18/4/1998
1388258;MOLINOS TARQUINI S.A.I.C. 100.00%;6/7/1983;19;MARMOSAIC;Denominativa;1120852;C;15/3/1995
